#  	Player  	GM  	KI  	MK  	HB  	DI  	DA  	GL  	BH  	HO  	TK  	RB  	IF  	CL  	CG  	FF  	FA  	BR  	CP  	UP  	CM  	MI  	1%  	BO  	GA  	%P  	SU  
3	Coniglio, Stephen	6	47	26	51	98	16.33	3	2	 	16	4	12	8	10	3	4	 	33	66	2	4	5	3	6	66.2	 
20	Stringer, Jake	7	65	25	25	90	12.86	12	11	 	13	1	24	9	15	10	5	 	47	43	2	12	6	 	4	83.7	 
26	Riccardi, Jake	6	51	27	27	78	13.00	10	3	43	12	1	18	5	17	4	8	 	26	55	5	7	9	 	3	76.5	 
44	Buckley, Jack	6	51	30	24	75	12.50	 	 	 	6	18	4	 	15	5	6	 	25	49	5	 	38	 	 	88.7	 
24	Rowston, Harry	4	44	18	19	63	15.75	3	1	 	11	8	9	6	14	1	2	 	16	44	 	 	5	 	3	67.0	 
23	Hogan, Jesse	6	36	26	17	53	8.83	9	5	 	6	 	9	1	11	5	2	 	22	31	6	16	4	 	1	84.2	 
32	Briggs, Kieren	4	29	11	15	44	11.00	 	2	77	9	2	12	19	12	5	6	 	25	19	2	2	6	 	 	65.5	 
46	Brown, Callum	5	22	10	20	42	8.40	1	4	1	12	3	11	 	12	4	4	 	12	27	 	1	3	 	1	68.2	 
13	Hannaford, Oliver	4	25	11	16	41	10.25	2	3	 	5	1	5	 	12	2	3	 	15	26	 	4	 	 	 	60.5	 
41	Madden, Nick	3	10	6	28	38	12.67	 	2	86	13	2	4	7	10	6	3	 	27	15	2	1	9	 	 	66.7	 
16	Daniels, Brent	2	21	10	14	35	17.50	4	1	 	4	 	12	7	6	3	3	 	15	23	 	 	2	3	3	68.5	 
14	Bedford, Toby	3	13	7	20	33	11.00	3	3	 	8	 	1	 	3	2	 	 	10	21	 	1	1	 	2	70.0	 
30	Leake, James	2	15	8	14	29	14.50	 	 	 	4	3	2	 	2	 	 	 	6	23	1	 	4	 	 	70.0	 
35	Gruzewski, Max	4	17	13	11	28	7.00	4	2	 	3	 	5	 	3	 	1	 	9	17	4	5	6	 	 	68.3	 
38	Delana, Josaia	4	11	1	13	24	6.00	 	1	 	12	1	7	2	4	2	3	 	12	13	 	 	3	 	1	67.5	 
5	Cadman, Aaron	2	15	8	6	21	10.50	7	2	 	1	 	3	 	4	4	 	 	9	13	2	6	2	 	2	74.5	 
21	Aleer, Leek	2	10	5	10	20	10.00	2	3	22	10	 	6	1	2	4	1	 	16	5	3	1	6	 	 	67.5	 
31	McMullin, Toby	1	4	1	3	7	7.00	 	 	 	3	1	 	 	1	 	1	 	3	4	 	 	1	 	 	64.0	 
31 players used	1524	665	1271	2795	17.36	86	75	229	380	292	402	233	427	117	146	 	941	1793	59	78	313	50	56	 	 
[Top]
Hawthorn [Players Game by Game][Team Game by Game]
#  	Player  	GM  	KI  	MK  	HB  	DI  	DA  	GL  	BH  	HO  	TK  	RB  	IF  	CL  	CG  	FF  	FA  	BR  	CP  	UP  	CM  	MI  	1%  	BO  	GA  	%P  	SU  
3	Newcombe, Jai	7	86	24	99	185	26.43	3	2	 	30	12	24	55	22	18	12	 	86	103	 	1	4	3	5	79.6	 
4	Impey, Jarman	7	106	54	57	163	23.29	1	 	 	14	30	25	6	26	1	4	 	31	119	2	 	6	10	3	82.3	 
9	Macdonald, Connor	7	99	36	51	150	21.43	4	7	 	25	6	32	15	19	4	4	 	49	97	2	8	2	1	7	79.1	 
25	Ward, Josh	7	76	25	72	148	21.14	 	1	 	23	7	26	19	22	5	4	 	46	100	 	1	5	 	5	77.0	 
24	Battle, Josh	7	97	54	49	146	20.86	 	1	 	10	38	11	 	22	7	5	 	49	85	10	1	25	7	 	94.1	 
33	Ginnivan, Jack	7	99	47	43	142	20.29	8	6	 	14	10	31	11	19	6	2	 	43	94	1	4	9	2	12	82.1	 
11	Nash, Conor	7	54	17	81	135	19.29	2	1	 	41	8	11	37	23	6	7	 	70	65	 	2	12	 	4	74.6	 
6	Sicily, James	6	88	46	45	133	22.17	 	 	 	14	29	19	3	15	10	4	 	37	87	6	 	21	4	2	91.8	 
16	DAmbrosio, Massimo	7	84	37	45	129	18.43	2	2	 	20	12	25	9	12	3	4	 	32	95	3	1	4	8	2	80.6	 
15	Hardwick, Blake	7	91	43	38	129	18.43	 	 	 	19	27	8	5	12	7	6	 	31	87	3	 	22	4	 	91.4	 
10	Amon, Karl	6	89	30	37	126	21.00	 	2	 	12	30	17	2	13	1	1	 	11	95	 	 	7	13	5	81.2	 
8	Moore, Dylan	6	63	24	55	118	19.67	7	6	 	14	1	17	5	20	3	5	 	34	81	 	3	4	2	5	87.5	 
23	Weddle, Josh	7	63	31	53	116	16.57	4	9	 	15	13	27	7	12	2	2	 	28	90	3	6	10	12	4	85.9	 
5	Watson, Nick	7	63	21	41	104	14.86	18	8	 	18	 	21	7	15	6	6	 	50	57	1	7	7	9	7	79.9	 
14	Scrimshaw, Jack	5	48	27	47	95	19.00	 	 	 	9	18	2	1	22	2	7	 	33	60	1	 	12	3	1	79.4	 
2	Lewis, Mitch	7	66	51	26	92	13.14	11	8	 	13	 	16	4	13	7	4	 	34	60	14	15	15	 	3	78.4	 
28	Mackenzie, Cam	5	46	14	45	91	18.20	1	2	 	22	3	11	18	10	6	5	 	35	59	 	 	3	 	3	67.6	 
37	Barrass, Tom	7	51	37	29	80	11.43	1	 	 	9	19	4	 	15	5	9	 	33	46	8	 	46	 	 	83.6	 
17	Meek, Lloyd	7	33	19	47	80	11.43	2	 	167	24	6	13	23	21	8	12	 	46	35	5	1	10	 	 	57.1	 
30	Butler, Sam	6	50	22	21	71	11.83	3	2	 	20	4	14	6	11	1	2	 	19	50	1	1	2	 	2	71.7	 
19	Gunston, Jack	6	56	37	11	67	11.17	24	16	 	4	 	8	1	7	3	4	 	24	42	5	28	5	 	2	84.7	 
7	Reeves, Ned	6	23	5	25	48	8.00	3	2	154	17	 	8	16	9	3	5	 	29	19	 	3	10	 	5	53.0	 
18	Chol, Mabior	5	34	20	8	42	8.40	7	9	6	8	 	6	6	8	4	4	 	25	17	9	12	9	 	 	60.6	 
1	Morrison, Harry	2	21	10	16	37	18.50	 	 	 	6	3	6	1	10	2	3	 	7	28	 	 	1	1	 	81.5	 
39	Perez, Flynn	3	17	5	18	35	11.67	 	 	 	13	1	4	1	3	4	1	 	12	27	 	 	5	 	1	72.0	 
20	Maginness, Finn	2	8	6	24	32	16.00	2	 	 	5	 	1	1	3	 	1	 	11	21	1	1	1	 	1	68.5	 
13	Dear, Calsher	2	13	7	9	22	11.00	2	2	 	7	1	4	 	2	2	1	 	14	8	 	3	4	 	1	78.5	 
34	Dalton, Jack	2	8	4	12	20	10.00	 	2	 	7	1	2	1	3	 	1	 	7	14	 	 	1	2	 	60.5	 
27	McCabe, Will	1	4	4	2	6	6.00	1	1	 	 	 	2	 	 	 	 	 	 	6	 	1	 	 	 	63.0	 
29 players used	1636	757	1106	2742	17.03	106	89	327	433	279	395	260	389	126	125	 	926	1747	75	99	262	81	80	 	 
[Top]
Melbourne [Players Game by Game][Team Game by Game]
#  	Player  	GM  	KI  	MK  	HB  	DI  	DA  	GL  	BH  	HO  	TK  	RB  	IF  	CL  	CG  	FF  	FA  	BR  	CP  	UP  	CM  	MI  	1%  	BO  	GA  	%P  	SU  
9	Steele, Jack	7	91	31	83	174	24.86	2	1	 	51	9	34	43	26	10	2	 	82	88	2	3	8	1	3	75.6	 
36	Pickett, Kysaiah	7	127	23	45	172	24.57	10	5	 	36	13	43	30	35	8	7	 	58	103	1	5	12	18	7	82.6	 
11	Gawn, Max	7	75	30	78	153	21.86	4	3	232	15	12	24	45	23	22	7	 	109	53	12	5	20	 	2	83.3	 
32	Sparrow, Tom	7	71	14	60	131	18.71	4	3	 	44	11	24	29	14	8	1	 	52	69	 	4	8	1	2	70.7	 
15	Langdon, Ed	7	69	43	56	125	17.86	4	3	 	14	15	15	4	10	3	3	 	31	90	1	7	3	5	4	88.6	 
6	Windsor, Caleb	7	71	13	48	119	17.00	3	1	 	26	6	35	9	20	3	4	 	39	79	 	 	5	2	1	74.9	 
12	Tholstrup, Koltyn	7	68	20	49	117	16.71	1	2	 	12	23	16	5	16	6	4	 	33	67	1	2	15	3	3	80.6	 
8	Lever, Jake	7	86	58	23	109	15.57	 	 	 	14	24	4	 	18	9	7	 	24	80	1	 	27	 	1	92.9	 
4	Langford, Harvey	7	54	22	54	108	15.43	9	1	 	9	4	17	12	20	3	4	 	40	71	4	7	2	5	5	74.1	 
37	Chandler, Kade	7	55	20	51	106	15.14	9	5	 	24	7	19	12	16	4	4	 	43	62	 	6	7	4	5	80.4	 
3	Salem, Christian	5	81	17	22	103	20.60	1	 	 	7	24	11	3	15	1	5	 	28	51	 	 	4	1	2	75.0	 
22	Howes, Blake	7	51	28	49	100	14.29	 	 	 	12	12	7	1	11	2	6	 	28	69	1	 	22	 	 	82.1	 
30	Sharp, Harry	7	57	22	33	90	12.86	9	4	 	20	3	29	9	16	5	5	 	32	57	 	5	5	7	4	74.7	 
13	Culley, Jai	7	45	21	41	86	12.29	1	3	 	15	4	14	10	6	4	2	 	44	43	6	5	6	1	5	70.0	 
5	Lindsay, Xavier	5	59	11	23	82	16.40	1	 	 	11	23	6	3	8	1	1	 	22	42	 	 	7	 	3	73.0	 
31	Fritsch, Bayley	6	53	21	26	79	13.17	12	4	 	12	1	11	3	7	5	 	 	26	51	3	13	4	2	4	84.3	 
2	van Rooyen, Jacob	7	44	30	35	79	11.29	10	8	18	6	 	12	3	8	2	1	 	34	45	6	14	12	 	5	81.6	 
10	Turner, Daniel	6	50	34	26	76	12.67	 	1	 	10	16	7	 	10	2	2	 	31	41	8	 	36	1	2	84.7	 
33	Pickett, Latrelle	7	40	14	25	65	9.29	3	2	 	6	5	18	10	24	3	8	 	25	41	 	1	6	16	5	70.3	 
28	Mihocek, Brody	7	50	34	12	62	8.86	13	6	6	8	1	15	2	17	4	5	 	24	40	9	17	3	 	4	83.4	 
14	Jiath, Changkuoth	4	38	22	17	55	13.75	 	 	 	3	11	9	1	10	2	2	 	9	42	 	 	11	4	1	61.3	 
35	Petty, Harry	6	29	20	20	49	8.17	 	2	18	9	6	4	2	17	3	7	 	26	18	7	2	24	 	1	84.5	 
